Id,TotalBsmtSF,1stFlrSF,2ndFlrSF
1210,1660,1660,0
1211,1055,1055,790
1212,559,1080,672
1213,672,672,0
1214,648,960,0
1215,925,999,0
1216,894,894,0
1217,0,1318,584
1218,1300,1314,0
1219,0,672,240
1220,672,672,546
1221,912,912,0
1222,952,1211,0
1223,1040,1168,678
1224,2136,2136,0
1225,788,788,702
1226,588,1138,0
1227,894,894,1039
1228,912,912,0
1229,1702,1702,0
1230,1075,1507,0
1231,1361,1361,1259
1232,1106,1190,0
1233,0,1224,0
1234,1188,1188,0
1235,940,1024,940
1236,747,892,892
1237,764,764,862
1238,847,847,1101
1239,1141,1141,0
1240,1476,1484,0
1241,884,884,884
1242,1689,1689,0
1243,1053,1173,0
1244,2076,2076,0
1245,792,792,725
1246,585,1140,728
1247,756,756,797
1248,1012,1034,0
1249,735,1134,924
1250,876,988,0
1251,2110,2110,0
1252,1405,1405,0
1253,864,874,0
1254,1192,1516,651
1255,746,760,896
1256,884,959,408
1257,1986,1987,0
1258,864,864,0
1259,856,1166,0
1260,1054,1054,0
1261,841,892,783
1262,1050,1050,0
1263,1104,1104,684
1264,764,1060,764
1265,1405,1337,0
1266,691,713,739
1267,925,964,925
1268,2002,2018,0
1269,728,1968,1479
1270,874,874,650
1271,1332,1332,192
1272,1489,1489,0
1273,935,935,0
1274,1019,1357,0
1275,661,661,589
1276,928,928,992
1277,723,735,660
1278,1680,1724,0
1279,1128,1128,903
1280,698,698,430
1281,1573,1573,0
1282,1309,1339,0
1283,1040,1040,0
1284,912,912,912
1285,804,1699,748
1286,780,825,587
1287,1328,1328,0
1288,1624,1582,0
1289,1501,1659,0
1290,1085,1120,850
1291,1152,1152,0
1292,630,630,672
1293,994,1378,994
1294,832,832,832
1295,864,864,0
1296,1052,1052,0
1297,1120,1128,0
1298,547,1072,0
1299,6110,4692,950
1300,1246,1246,0
1301,978,1005,978
1302,771,753,741
1303,1165,1203,1323
1304,1616,1616,0
1305,976,976,732
1306,1652,1652,0
1307,1368,1368,0
1308,990,990,0
1309,924,1122,0
1310,1278,1294,0
1311,1902,1902,0
1312,1274,1274,0
1313,1453,1453,1357
1314,1393,1422,1177
1315,948,948,0
1316,952,1092,1020
1317,1622,1630,0
1318,1352,1352,0
1319,1753,1787,0
1320,864,948,0
1321,1478,1478,0
1322,0,720,0
1323,750,1061,862
1324,420,708,0
1325,1795,1795,0
1326,796,796,0
1327,544,774,0
1328,816,816,0
1329,1510,1584,1208
1330,935,955,677
1331,1588,1588,0
1332,911,954,0
1333,816,816,0
1334,803,803,557
1335,765,765,600
1336,1350,1334,0
1337,1656,1656,0
1338,693,693,0
1339,916,920,941
1340,864,864,0
1341,858,872,0
1342,1114,1114,0
1343,1284,1284,885
1344,896,1172,741
1345,728,728,728
1346,960,960,0
1347,1568,2156,0
1348,1732,1776,0
1349,1482,1494,0
1350,684,938,1215
1351,1248,1338,1296
1352,858,858,858
1353,698,786,390
1354,2033,2053,1185
1355,992,992,873
1356,570,1222,698
1357,864,892,0
1358,1078,1078,0
1359,756,769,804
1360,1980,1980,0
1361,612,990,1611
1362,1530,1530,0
1363,715,1281,457
1364,616,616,796
1365,600,520,600
1366,814,814,860
1367,873,882,908
1368,757,925,550
1369,848,848,0
1370,1657,1668,0
1371,840,840,534
1372,992,1661,0
1373,1108,1108,989
1374,2633,2633,0
1375,1026,1026,932
1376,1571,1571,0
1377,768,790,0
1378,984,984,620
1379,483,483,504
1380,384,754,640
1381,864,864,0
1382,1205,2117,0
1383,596,998,764
1384,816,1416,0
1385,560,698,560
1386,796,796,358
1387,1392,1392,1392
1388,714,1664,862
1389,1746,1746,0
1390,735,869,349
1391,1525,1525,0
1392,1584,1584,0
1393,864,900,0
1394,482,1221,691
1395,1356,1500,0
1396,1094,1133,1349
1397,747,1687,0
1398,939,939,574
1399,1208,1136,768
1400,976,1160,448
1401,862,950,208
1402,839,864,729
1403,1286,1294,0
1404,1485,1464,0
1405,672,694,520
1406,1594,1646,0
1407,768,768,0
1408,833,833,0
1409,622,741,622
1410,791,1236,857
1411,944,944,896
1412,856,1112,556
1413,0,1040,0
1414,1844,1844,0
1415,833,1053,795
1416,1386,1569,0
1417,777,1246,1044
1418,1284,1310,1140
1419,1144,1144,0
1420,1844,1844,0
1421,708,708,708
1422,1069,1069,0
1423,848,848,0
1424,697,1575,626
1425,1024,1344,0
1426,1252,1252,0
1427,1223,1223,904
1428,913,1048,510
1429,788,804,0
1430,1440,1440,0
1431,732,734,1104
1432,958,958,0
1433,656,968,0
1434,936,962,830
1435,1126,1126,0
1436,1319,1537,0
1437,864,864,0
1438,1932,1932,0
1439,912,1236,0
1440,539,1040,685
1441,588,1423,748
1442,848,848,0
1443,1017,1026,981
1444,952,952,0
1445,1422,1422,0
1446,814,913,0
1447,1188,1188,0
1448,1220,1220,870
1449,560,796,550
1450,630,630,0
1451,896,896,896
1452,1573,1578,0
1453,547,1072,0
1454,1140,1140,0
1455,1221,1221,0
1456,953,953,694
1457,1542,2073,0
1458,1152,1188,1152
1459,1078,1078,0
1460,1256,1256,0
