Id,TotalBsmtSF,1stFlrSF,2ndFlrSF
364,483,483,504
365,796,790,784
366,672,672,672
367,1394,1394,0
368,1099,1431,0
369,1268,1268,0
370,1063,1287,0
371,953,953,711
372,0,1120,468
373,744,752,0
374,608,1319,0
375,847,847,1081
376,683,904,0
377,870,914,0
378,1580,1580,886
379,1856,1856,0
380,982,1007,793
381,1026,1026,665
382,1293,1301,0
383,939,939,858
384,784,784,0
385,1580,1079,874
386,1256,1269,0
387,658,658,526
388,1041,1125,0
389,1468,1479,0
390,1682,1742,590
391,861,961,406
392,804,804,1157
393,0,882,0
394,788,788,0
395,735,735,299
396,1144,1144,0
397,894,894,0
398,864,876,936
399,961,1077,0
400,1092,1112,438
401,1260,1288,0
402,1310,1310,0
403,672,672,0
404,1141,1165,1098
405,806,806,766
406,1281,1620,0
407,1064,1166,0
408,840,840,840
409,1063,1071,1101
410,1034,1050,1028
411,1276,1276,0
412,1056,1056,0
413,1470,1478,0
414,1008,1028,0
415,1080,1080,1017
416,1340,1340,0
417,672,672,728
418,1370,1370,1254
419,756,756,378
420,1056,1056,0
421,1344,1344,0
422,1602,1602,0
423,988,988,0
424,1470,1470,1160
425,1196,1196,0
426,651,707,682
427,1518,1644,0
428,907,907,0
429,1208,1208,0
430,1392,1412,0
431,483,483,504
432,901,1088,110
433,765,765,600
434,926,926,678
435,630,630,0
436,799,827,834
437,648,734,384
438,884,904,0
439,440,694,0
440,684,684,512
441,3094,2402,0
442,1440,1440,0
443,1078,1128,445
444,1258,1258,0
445,915,933,975
446,1436,1689,0
447,1517,1888,0
448,930,956,930
449,780,780,596
450,649,679,504
451,813,813,0
452,1533,1533,0
453,872,888,868
454,768,786,804
455,1728,1728,0
456,1242,1242,0
457,624,624,720
458,1364,1663,0
459,588,833,833
460,709,979,224
461,832,832,1103
462,560,575,560
463,864,864,0
464,715,849,811
465,1040,1040,0
466,1375,1414,0
467,1277,1277,0
468,728,888,756
469,1626,1634,0
470,832,832,878
471,1488,1502,0
472,808,1161,808
473,547,1072,0
474,1976,1976,0
475,1494,1652,0
476,970,970,0
477,1478,1493,0
478,2153,2069,574
479,1705,1718,0
480,907,1131,0
481,1833,1850,0
482,1792,1792,0
483,910,916,910
484,1216,1216,0
485,999,999,0
486,1113,1113,0
487,1073,1073,0
488,1484,1484,0
489,954,1766,648
490,630,630,0
491,264,616,688
492,806,958,620
493,728,728,728
494,1269,1269,0
495,190,886,0
496,720,720,0
497,3200,3228,0
498,1026,1133,687
499,864,899,0
500,912,912,0
501,672,672,546
502,866,866,902
503,1214,1214,0
504,1501,1801,0
505,855,855,467
506,960,960,1000
507,777,1065,846
508,1218,1218,0
509,689,689,689
510,1041,1041,0
511,1008,1363,0
512,1368,1368,0
513,864,864,0
514,1084,1080,0
515,768,789,0
516,2006,2020,0
517,689,1378,741
518,1264,1277,1067
519,794,882,914
520,1276,1276,804
521,0,694,600
522,1244,1244,0
523,1004,1004,660
524,3138,3138,1538
525,1379,1383,1015
526,1257,1266,0
527,928,928,0
528,1452,1476,1237
529,528,605,0
530,2035,2515,0
531,1461,1509,0
532,611,751,611
533,0,827,0
534,0,334,0
535,707,707,707
536,1117,820,527
537,880,880,844
538,864,864,0
539,1051,1159,0
540,1581,1601,0
541,1838,1838,0
542,969,997,1288
543,1650,1680,0
544,723,767,0
545,654,664,832
546,1204,1377,806
547,1065,915,720
548,768,768,0
549,825,825,0
550,912,912,1182
551,1069,1069,0
552,928,928,0
553,1709,1717,0
554,0,1126,0
555,998,1006,1040
556,993,1048,0
557,1092,1092,0
558,637,897,439
559,729,729,717
560,1374,1557,0
561,1392,1392,0
562,1389,1389,0
563,996,996,0
564,1163,1163,511
565,1095,1166,1129
566,806,841,806
567,1122,1134,1370
568,1517,1535,0
569,1496,1496,636
570,943,943,0
571,1728,1728,0
572,864,864,0
573,846,846,846
574,384,774,656
575,372,576,533
576,832,832,384
577,861,877,600
578,1164,1320,0
579,689,703,689
580,1050,1050,745
581,1144,1429,0
582,2042,2042,0
583,816,816,0
584,1237,1521,1254
585,884,989,584
586,1868,2028,0
587,816,838,0
588,840,860,0
589,1437,1473,0
590,742,779,0
591,770,770,812
592,1722,1728,568
593,816,816,0
594,848,848,0
595,924,924,0
596,1814,1826,0
597,684,684,684
598,1258,1402,0
599,1430,1647,0
600,716,716,840
601,1058,1058,846
602,780,780,595
603,908,927,988
604,600,600,600
605,1494,1494,0
606,768,1186,800
607,1040,1040,0
608,896,1112,896
609,965,1940,1254
610,1029,1029,0
611,1440,1476,677
612,1032,1032,0
613,1299,1299,573
614,1120,1120,0
615,630,630,0
616,936,1054,0
617,783,807,702
618,832,832,0
619,1822,1828,0
620,1482,1482,780
621,864,864,0
622,1522,1548,1066
623,980,980,0
624,756,756,756
625,732,1012,778
626,1116,1116,0
627,978,1422,0
628,1156,1520,0
629,1040,1040,1040
630,1248,1350,0
631,636,1089,661
632,1554,1554,0
633,1386,1411,0
634,1056,1056,0
635,1056,1056,0
636,1440,1440,1440
637,264,800,0
638,811,811,576
639,796,796,0
640,1520,1567,0
641,1518,1518,0
642,1057,1057,872
643,1952,2000,704
644,780,780,840
645,1766,1766,0
646,981,981,0
647,0,1048,0
648,1094,1094,0
649,756,1051,788
650,630,630,0
651,813,822,843
652,755,755,755
653,880,909,807
654,756,756,713
655,2109,2113,0
656,525,525,567
657,1053,1053,0
658,776,851,651
659,912,912,546
660,1486,1486,0
661,793,1142,793
662,1629,1686,762
663,1392,1392,0
664,1138,1181,0
665,2077,2097,0
666,1406,1454,482
667,1021,1465,915
668,1408,1679,0
669,1188,1437,0
670,700,1180,0
671,738,738,738
672,672,697,672
673,1208,1208,0
674,1477,1839,0
675,1136,1136,0
676,855,855,586
677,1095,1095,679
678,768,792,0
679,2046,2046,0
680,988,988,0
681,923,923,0
682,793,848,672
683,1291,1291,0
684,1626,1668,0
685,1195,1195,644
686,1190,1190,900
687,874,874,887
688,551,551,551
689,1419,1419,0
690,1362,1362,0
691,848,848,0
692,2444,2444,1872
693,1210,1238,1281
694,1073,1073,0
695,927,1067,472
696,1112,1137,0
697,616,616,0
698,980,1148,0
699,894,894,0
700,1391,1391,0
701,1800,1800,0
702,1164,1164,0
703,1234,1264,1312
704,360,1032,780
705,1473,1484,0
706,0,372,720
707,1643,1824,0
708,1324,1324,0
709,728,728,728
710,876,904,0
711,270,729,0
712,859,859,319
713,1228,1228,0
714,960,960,0
715,725,725,754
716,1064,1350,0
717,718,1576,978
718,1176,1178,0
719,1311,1325,1093
720,971,971,0
721,1742,1742,0
722,848,848,0
723,864,864,0
724,941,997,473
725,1698,1698,0
726,864,864,0
727,880,1680,0
728,1232,1232,0
729,1584,1776,0
730,780,848,0
731,1595,1616,0
732,868,1146,0
733,1153,1153,878
734,864,1144,0
735,948,948,0
736,880,880,888
737,0,1040,0
738,893,901,900
739,1200,1200,0
740,864,864,864
741,264,768,664
742,912,912,0
743,1349,1349,0
744,520,1464,0
745,1337,1337,0
746,1142,1175,1540
747,952,980,1276
748,1240,1320,1320
749,1720,1720,0
750,0,1088,441
751,576,792,348
752,660,660,660
753,1479,1494,0
754,1030,1038,1060
755,1026,1026,0
756,729,742,729
757,866,866,902
758,672,672,714
759,744,757,744
760,1318,1328,1203
761,864,864,0
762,1145,1301,0
763,756,764,783
764,1252,1268,1097
765,1494,1494,0
766,1498,1506,0
767,980,980,734
768,983,983,767
769,1860,1836,0
770,1650,1690,1589
771,858,858,0
772,836,1220,0
773,1029,1117,0
774,912,912,0
775,1935,1973,0
776,1204,1204,0
777,1614,1614,0
778,864,894,0
779,0,2020,0
780,975,1004,0
781,1237,1253,0
782,761,810,793
783,1413,1430,0
784,1097,1110,0
785,742,742,742
786,1372,1342,0
787,686,966,686
788,956,956,1128
789,901,901,0
790,832,976,1111
791,1145,1145,0
792,1029,1062,0
793,1117,1127,886
794,1496,1496,0
795,712,1086,809
796,650,888,676
797,660,1285,0
798,773,773,0
799,1926,1966,1174
800,731,981,787
801,616,616,1072
802,1196,1196,0
803,728,728,728
804,1734,1734,1088
805,936,1128,0
806,1417,1428,0
807,980,980,0
808,1324,1072,504
809,1024,1086,0
810,849,1075,1063
811,1040,1309,0
812,848,848,0
813,540,1044,0
814,1442,1442,0
815,686,686,564
816,1649,1661,0
817,1008,1008,0
818,1568,1689,0
819,1010,1052,0
820,1358,1358,0
821,798,798,842
822,936,936,0
823,847,847,886
824,778,944,545
825,1489,1489,0
826,2078,2084,0
827,784,784,0
828,1454,1434,0
829,1013,1160,966
830,600,520,623
831,1392,1392,0
832,600,520,600
833,941,941,888
834,1516,1516,0
835,1144,1144,0
836,1067,1067,0
837,1559,1559,0
838,483,483,504
839,1099,1099,0
840,768,768,432
841,672,810,672
842,650,958,581
843,1127,1165,0
844,1800,1800,0
845,876,876,540
846,1390,1701,0
847,740,1006,769
848,864,864,0
849,907,1307,1051
850,528,1094,761
851,848,848,0
852,1273,1456,0
853,918,918,728
854,1127,1445,0
855,1763,1779,0
856,1040,1040,0
857,940,1026,0
858,702,702,779
859,1090,1370,0
860,1054,1512,1142
861,912,912,514
862,1039,1039,0
863,1040,1097,0
864,1148,1148,0
865,1372,1372,0
866,1002,1002,0
867,1638,1646,0
868,1040,1120,0
869,0,1547,720
870,1050,1062,887
871,894,894,0
872,804,804,878
873,105,910,0
874,832,1036,0
875,676,676,455
876,1184,1184,1426
877,1064,1040,0
878,1462,1462,762
879,1109,1155,0
880,864,864,0
881,1090,1090,0
882,1156,1187,530
883,808,808,785
884,795,954,795
885,892,892,0
886,1698,1709,0
887,1626,1712,0
888,816,872,521
889,2217,2217,0
890,1505,1505,0
891,672,672,252
892,918,918,765
893,1059,1068,0
894,1383,1383,0
895,0,1535,0
896,780,983,813
897,951,951,0
898,0,1120,1120
899,2330,2364,0
900,912,1236,0
901,858,858,0
902,992,1306,0
903,783,807,702
904,1670,1670,0
905,876,902,0
906,1056,1063,0
907,1623,1636,0
908,1017,1020,1037
909,864,902,0
910,742,742,742
911,1105,1105,1169
912,1268,1268,0
913,768,1015,0
914,1001,1001,1001
915,612,612,612
916,546,546,546
917,480,480,0
918,1134,1229,0
919,1104,912,1215
920,1184,1414,0
921,928,936,785
922,1272,1272,928
923,1316,1316,0
924,1604,1617,0
925,1686,1686,0
926,1126,1126,0
927,1181,1234,1140
928,832,1098,880
929,1753,1788,0
930,964,993,1243
931,1466,1466,0
932,925,925,0
933,1905,1905,0
934,1500,1500,0
935,585,2069,0
936,600,747,0
937,1176,1200,0
938,1113,1113,858
939,1391,1391,571
940,1032,1207,1196
941,1728,1728,0
942,992,1022,1038
943,1440,1440,0
944,1632,1632,0
945,819,1344,0
946,1088,1188,561
947,1144,1144,0
948,1616,1629,0
949,936,936,840
950,1161,1381,0
951,864,864,0
952,828,965,0
953,768,768,0
954,784,1168,800
955,945,980,0
956,979,979,979
957,561,561,668
958,1057,1057,0
959,1337,1337,0
960,696,696,720
961,858,858,0
962,1330,1542,1330
963,804,804,744
964,1800,1800,0
965,817,824,1070
966,783,783,701
967,728,976,332
968,1098,1098,0
969,600,600,368
970,588,1095,0
971,720,720,472
972,764,764,862
973,918,918,0
974,1428,1428,0
975,728,1136,883
976,673,673,709
977,440,869,0
978,1241,1241,0
979,894,894,0
980,1121,1121,0
981,944,999,0
982,1225,1276,1336
983,1266,1266,0
984,1128,1149,1141
985,0,1302,432
986,1164,1164,0
987,485,1001,634
988,1930,1940,0
989,848,1118,912
990,770,778,798
991,1396,1407,985
992,916,916,826
993,822,1020,831
994,750,750,750
995,1700,1718,0
996,747,774,456
997,1050,1050,0
998,1442,1442,0
999,1007,1077,0
1000,1187,1208,0
