Id,LotFrontage,MSZoning,YearBuilt,SaleCondition,SalePrice,Label
119,90.0,RL,1990,Normal,320000,Y
120,65.0,RL,2005,Partial,163990,Y
121,,RL,1969,Normal,180000,Y
122,50.0,RM,1939,Normal,100000,Y
123,75.0,RL,1958,Normal,136000,Y
124,55.0,RL,1993,Normal,153900,Y
125,48.0,RL,1979,Normal,181000,Y
126,60.0,RM,1935,Normal,84500,Y
127,,RL,1976,Normal,128000,Y
128,55.0,RM,1930,Normal,87000,Y
129,69.0,RL,1966,Normal,155000,Y
130,69.0,RL,1958,Abnorml,150000,Y
131,88.0,RL,1966,Normal,226000,Y
132,,RL,2000,Normal,244000,Y
133,75.0,RL,1959,Normal,150750,Y
134,,RL,2001,Normal,220000,Y
135,78.0,RL,1968,Normal,180000,Y
136,80.0,RL,1970,Normal,174000,Y
137,,RL,1967,Normal,143000,Y
138,82.0,RL,1988,Family,171000,Y
139,73.0,RL,1999,Normal,230000,Y
140,65.0,RL,1997,Normal,231500,Y
141,70.0,RL,1971,Normal,115000,Y
142,78.0,RL,2005,Normal,260000,Y
143,71.0,RL,1952,Normal,166000,Y
144,78.0,RL,1999,Normal,204000,Y
145,70.0,RM,1963,Abnorml,125000,Y
146,24.0,RM,2004,Normal,130000,Y
147,51.0,RM,1931,Normal,105000,Y
148,,RL,2001,Normal,222500,Y
149,63.0,RL,2004,Normal,141000,Y
150,,RM,1936,Normal,115000,Y
151,120.0,RL,1975,Normal,122000,Y
152,107.0,RL,2007,Partial,372402,Y
153,,RL,1971,Normal,190000,Y
154,,RL,1960,Normal,235000,Y
155,84.0,RM,1923,Family,125000,Y
156,60.0,RL,1924,Normal,79000,Y
157,60.0,RL,1950,Normal,109500,Y
158,92.0,RL,2009,Partial,269500,Y
159,100.0,FV,2004,Normal,254900,Y
160,134.0,RL,2005,Partial,320000,Y
161,,RL,1984,Normal,162500,Y
162,110.0,RL,2003,Normal,412500,Y
163,95.0,RL,2005,Partial,220000,Y
164,55.0,RL,1956,Normal,103200,Y
165,40.0,RM,1926,Normal,152000,Y
166,62.0,RL,1940,Normal,127500,Y
167,,RL,1955,Normal,190000,Y
168,86.0,RL,2007,Partial,325624,Y
169,62.0,RL,2004,Normal,183500,Y
170,,RL,1981,Normal,228000,Y
171,,RM,1941,Normal,128500,Y
172,141.0,RL,1960,Normal,215000,Y
173,44.0,RL,1987,Normal,239000,Y
174,80.0,RL,1961,Normal,163000,Y
175,47.0,RL,1986,Normal,184000,Y
176,84.0,RL,1950,Normal,243000,Y
177,97.0,RL,1988,Normal,211000,Y
178,,RL,1958,Normal,172500,Y
179,63.0,RL,2008,Partial,501837,Y
180,60.0,RM,1923,Normal,100000,Y
181,,FV,2000,Normal,177000,Y
182,54.0,RL,1920,Normal,200100,Y
183,60.0,RL,1957,Normal,120000,Y
184,63.0,RM,2003,Normal,200000,Y
185,92.0,RL,1908,Normal,127000,Y
186,90.0,RM,1892,Normal,475000,Y
187,,RL,1990,Normal,173000,Y
188,60.0,RL,1916,Normal,135000,Y
189,64.0,RL,1979,Alloca,153337,Y
190,41.0,RL,2001,Normal,286000,Y
191,70.0,RL,1932,Normal,315000,Y
192,,RL,1972,Normal,184000,Y
193,68.0,RL,1999,Normal,192000,Y
194,24.0,RM,2004,Normal,130000,Y
195,60.0,RL,1972,Normal,127000,Y
196,24.0,RL,1976,Normal,148500,Y
197,79.0,RL,2007,Partial,311872,Y
198,174.0,RL,1918,Abnorml,235000,Y
199,92.0,RM,1912,Abnorml,104000,Y
200,76.0,RL,2004,Normal,274900,Y
201,80.0,RM,2003,Normal,140000,Y
202,75.0,RL,1977,Normal,171500,Y
203,50.0,RL,1924,Normal,112000,Y
204,,RM,2004,Normal,149000,Y
205,50.0,RM,1947,Normal,110000,Y
206,99.0,RL,1990,Normal,180500,Y
207,40.0,RL,1962,Normal,143900,Y
208,,RL,1960,Normal,141000,Y
209,,RL,1988,Normal,277000,Y
210,75.0,RL,1964,Normal,145000,Y
211,67.0,RL,1925,Normal,98000,Y
212,83.0,RL,2009,Normal,186000,Y
213,72.0,FV,2009,Partial,252678,Y
214,43.0,RL,1995,Normal,156000,Y
215,,RL,1977,Normal,161750,Y
216,72.0,RL,1957,Normal,134450,Y
217,65.0,RL,2004,Normal,210000,Y
218,57.0,RM,1925,Family,107000,Y
219,,RL,1939,Normal,311500,Y
220,43.0,RL,2005,Partial,167240,Y
221,73.0,RL,2006,Partial,204900,Y
222,,RL,2002,Normal,200000,Y
223,85.0,RL,1975,Normal,179900,Y
224,70.0,RL,1971,Abnorml,97000,Y
225,103.0,RL,2003,Normal,386250,Y
226,21.0,RM,1971,Abnorml,112000,Y
227,82.0,RL,1995,Abnorml,290000,Y
228,21.0,RM,1970,Normal,106000,Y
229,70.0,RL,1967,Normal,125000,Y
230,43.0,RL,2005,Normal,192500,Y
231,73.0,RL,1959,Normal,148000,Y
232,174.0,RL,1995,Normal,403000,Y
233,21.0,RM,1972,Normal,94500,Y
234,75.0,RL,1976,Normal,128200,Y
235,,RL,2002,Normal,216500,Y
236,21.0,RM,1971,Normal,89500,Y
237,65.0,RL,2004,Normal,185500,Y
238,,RL,1993,Normal,194500,Y
239,93.0,RL,2007,Partial,318000,Y
240,52.0,RL,1945,Normal,113000,Y
241,75.0,FV,2008,Normal,262500,Y
242,40.0,RM,1945,Normal,110500,Y
243,63.0,RM,1900,Normal,79000,Y
244,75.0,RL,1980,Normal,120000,Y
245,,RL,1994,Normal,205000,Y
246,80.0,RL,1988,Normal,241500,Y
247,69.0,RM,1910,Normal,137000,Y
248,75.0,RL,1954,Normal,140000,Y
249,72.0,RL,2003,Normal,180000,Y
250,,RL,1958,Normal,277000,Y
251,55.0,RL,1940,Normal,76500,Y
252,44.0,RM,2006,Family,235000,Y
253,65.0,RL,2004,Normal,173000,Y
254,85.0,RL,1964,Normal,158000,Y
255,70.0,RL,1957,Normal,145000,Y
256,66.0,RL,1999,Normal,230000,Y
257,64.0,FV,2003,Normal,207500,Y
258,68.0,RL,2006,Abnorml,220000,Y
259,80.0,RL,2001,Normal,231500,Y
260,70.0,RM,1956,Normal,97000,Y
261,120.0,RL,1962,Normal,176000,Y
262,69.0,RL,2007,Partial,276000,Y
263,88.0,RL,1977,Normal,151000,Y
264,50.0,RM,1929,Normal,130000,Y
265,30.0,RM,1925,Normal,73000,Y
266,78.0,RL,1981,Normal,175500,Y
267,70.0,RL,1997,Normal,185000,Y
268,60.0,RL,1939,Normal,179500,Y
269,71.0,RM,1940,Normal,120500,Y
270,,RL,1976,Normal,148000,Y
271,84.0,FV,2006,Partial,266000,Y
272,73.0,RL,1954,Normal,241500,Y
273,92.0,RL,1999,Normal,290000,Y
274,80.0,RL,1958,Normal,139000,Y
275,76.0,RL,1982,Normal,124500,Y
276,55.0,RL,1925,Normal,205000,Y
277,129.0,RL,2003,Normal,201000,Y
278,140.0,RL,1951,Normal,141000,Y
279,107.0,RL,2006,Partial,415298,Y
280,83.0,RL,1977,Normal,192000,Y
281,82.0,RL,1989,Normal,228500,Y
282,60.0,FV,2006,Partial,185000,Y
283,34.0,RL,2007,Normal,207500,Y
284,74.0,RL,2008,Partial,244600,Y
285,50.0,RL,1992,Normal,179200,Y
286,35.0,FV,2006,Partial,164700,Y
287,77.0,RL,1962,Normal,159000,Y
288,,RL,1971,Normal,88000,Y
289,,RL,1967,Normal,122000,Y
290,60.0,RL,1915,Normal,153575,Y
291,120.0,RL,2006,Partial,233230,Y
292,55.0,RL,1912,Normal,135900,Y
293,60.0,RL,1949,Normal,131000,Y
294,,RL,1977,Normal,235000,Y
295,80.0,RL,1953,Normal,167000,Y
296,37.0,RL,1984,Normal,142500,Y
297,75.0,RM,1950,Normal,152000,Y
298,66.0,FV,1997,Normal,239000,Y
299,90.0,RL,1968,Normal,175000,Y
300,80.0,RL,1950,Family,158500,Y
301,90.0,RL,1953,Normal,157000,Y
302,66.0,RL,1998,Normal,267000,Y
303,118.0,RL,2001,Normal,205000,Y
304,70.0,RL,1972,Abnorml,149900,Y
305,87.0,RM,1880,Normal,295000,Y
306,80.0,RL,2004,Normal,305900,Y
307,116.0,RL,1990,Normal,225000,Y
308,,RM,1920,Normal,89500,Y
309,,RL,1940,Normal,82500,Y
310,90.0,RL,2003,Normal,360000,Y
311,,RL,1993,Normal,165600,Y
312,50.0,RL,1948,Normal,132000,Y
313,65.0,RM,1939,Normal,119900,Y
314,150.0,RL,1965,Normal,375000,Y
315,60.0,RM,1925,Normal,178000,Y
316,71.0,RL,2004,Normal,188500,Y
317,94.0,RL,1980,Normal,260000,Y
318,75.0,FV,2006,Normal,270000,Y
319,90.0,RL,1993,Normal,260000,Y
320,,RL,1980,Normal,187500,Y
321,111.0,RL,2006,Partial,342643,Y
322,99.0,RL,2004,Normal,354000,Y
323,86.0,RL,1986,Normal,301000,Y
324,49.0,RM,1955,Normal,126175,Y
325,96.0,RL,1967,Normal,242000,Y
326,50.0,RM,1941,Normal,87000,Y
327,32.0,RL,1993,Normal,324000,Y
328,80.0,RL,1960,Normal,145250,Y
329,,RL,1916,Normal,214500,Y
330,60.0,RM,1920,Normal,78000,Y
331,,RL,1964,Normal,119000,Y
332,70.0,RL,1958,Normal,139000,Y
333,85.0,RL,2003,Normal,284000,Y
334,59.0,RM,2004,Normal,207000,Y
335,59.0,RL,1998,Normal,192000,Y
336,,RL,1965,Normal,228950,Y
337,86.0,RL,2005,Normal,377426,Y
338,70.0,RL,2002,Normal,214000,Y
339,91.0,RL,1984,Normal,202500,Y
340,66.0,RL,1958,Normal,155000,Y
341,85.0,RL,2002,Normal,202900,Y
342,60.0,RH,1950,Normal,82000,Y
343,,RL,1949,Normal,87500,Y
344,63.0,RL,2005,Normal,266000,Y
345,36.0,RM,1976,Normal,85000,Y
346,65.0,RL,1939,Normal,140200,Y
347,,RL,1960,Normal,151500,Y
348,,RL,1960,Normal,157500,Y
349,36.0,RL,2003,Normal,154000,Y
350,56.0,RL,2005,Partial,437154,Y
351,68.0,RL,2007,Partial,318061,Y
352,,RL,1986,Abnorml,190000,Y
353,60.0,RL,1941,Normal,95000,Y
354,60.0,RM,1928,Normal,105900,Y
355,60.0,RL,1940,Normal,140000,Y
356,105.0,RL,1995,Normal,177500,Y
357,,RL,1992,Normal,173000,Y
358,44.0,RM,1976,Normal,134000,Y
359,92.0,RL,1958,Abnorml,130000,Y
360,78.0,RL,1998,Normal,280000,Y
361,,RL,1978,Normal,156000,Y
362,,RL,1940,Normal,145000,Y
363,64.0,RL,2003,Normal,198500,Y
364,21.0,RM,1972,Normal,118000,Y
365,,RL,1976,Normal,190000,Y
366,59.0,RM,1920,Normal,147000,Y
367,,RL,1963,Normal,159000,Y
368,101.0,RL,1962,Normal,165000,Y
369,78.0,RL,1954,Normal,132000,Y
370,,RL,1959,Normal,162000,Y
371,,RL,2000,Normal,172400,Y
372,80.0,RL,1959,Normal,134432,Y
373,50.0,RL,1984,Normal,125000,Y
374,79.0,RL,1953,Normal,123000,Y
375,65.0,RL,2003,Normal,219500,Y
376,,RL,1922,Normal,61000,Y
377,57.0,RL,1996,Normal,148000,Y
378,102.0,FV,2004,Normal,340000,Y
379,88.0,RL,2010,Partial,394432,Y
380,60.0,RL,2000,Normal,179000,Y
381,50.0,RL,1924,Normal,127000,Y
382,60.0,FV,2006,Partial,187750,Y
383,79.0,RL,2006,Normal,213500,Y
384,60.0,RH,1928,Normal,76000,Y
385,,RL,1992,Normal,240000,Y
386,43.0,RL,2004,Normal,192000,Y
387,58.0,RL,1910,AdjLand,81000,Y
388,72.0,RL,1976,Abnorml,125000,Y
389,93.0,RL,1999,Normal,191000,Y
390,96.0,RL,2007,Partial,426000,Y
391,50.0,RL,1900,Normal,119000,Y
392,71.0,RL,2001,Normal,215000,Y
393,,RL,1959,Normal,106500,Y
394,,RL,1941,Abnorml,100000,Y
395,60.0,RL,1940,Normal,109000,Y
396,68.0,RL,1956,Normal,129000,Y
397,60.0,RL,1972,Normal,123000,Y
398,69.0,RL,1962,Normal,169500,Y
399,60.0,RM,1920,Abnorml,67000,Y
400,65.0,FV,2006,Normal,241000,Y
401,38.0,RL,1996,Normal,245500,Y
402,65.0,RL,2005,Partial,164990,Y
403,60.0,RL,1940,Normal,108000,Y
404,93.0,RL,1998,Abnorml,258000,Y
405,,RL,1995,Normal,168000,Y
406,,RL,1976,Normal,150000,Y
407,51.0,RL,1936,Normal,115000,Y
408,63.0,RL,1915,Normal,177000,Y
409,109.0,RL,2006,Partial,280000,Y
410,85.0,FV,2007,Partial,339750,Y
411,68.0,RL,1958,Abnorml,60000,Y
412,100.0,RL,1955,Normal,145000,Y
413,,FV,2009,Partial,222000,Y
414,56.0,RM,1927,Normal,115000,Y
415,59.0,RL,1993,Normal,228000,Y
416,73.0,RL,2007,Partial,181134,Y
417,74.0,RL,1978,Normal,149500,Y
418,86.0,RL,1918,Normal,239000,Y
419,60.0,RL,1940,AdjLand,126000,Y
420,65.0,RL,1968,Normal,142000,Y
421,78.0,RM,1997,Alloca,206300,Y
422,,RL,1977,Normal,215000,Y
423,100.0,RL,1954,Normal,113000,Y
424,80.0,RL,1998,Normal,315000,Y
425,72.0,RL,1956,Normal,139000,Y
426,60.0,RM,1946,Normal,135000,Y
427,,RL,1989,Normal,275000,Y
428,77.0,RL,1957,Normal,109008,Y
429,64.0,RL,2007,Partial,195400,Y
430,130.0,RL,1988,Normal,175000,Y
431,21.0,RM,1971,Abnorml,85400,Y
432,60.0,RM,1920,Abnorml,79900,Y
433,24.0,RM,1971,Normal,122500,Y
434,100.0,RL,1997,Normal,181000,Y
435,21.0,RM,1972,Normal,81000,Y
436,43.0,RL,1996,Normal,212000,Y
437,40.0,RM,1920,Normal,116000,Y
438,50.0,RM,1926,Normal,119000,Y
439,40.0,RL,1913,Normal,90350,Y
440,67.0,RL,1920,Normal,110000,Y
441,105.0,RL,2008,Normal,555000,Y
442,92.0,RL,1955,Normal,118000,Y
443,52.0,RM,1930,Normal,162900,Y
444,53.0,RL,2006,Partial,172500,Y
445,70.0,RL,1994,Normal,210000,Y
446,73.0,RL,1956,Normal,127500,Y
447,137.0,RL,1966,Normal,190000,Y
448,,RL,1998,Normal,199900,Y
449,50.0,RM,1937,Normal,119500,Y
450,50.0,RM,1948,Normal,120000,Y
451,70.0,RM,1930,Normal,110000,Y
452,62.0,RL,1975,Normal,280000,Y
453,,RL,1996,Normal,204000,Y
454,75.0,FV,2008,Normal,210000,Y
455,63.0,RL,1976,Family,188000,Y
456,80.0,RL,1973,Normal,175500,Y
457,34.0,RM,1916,Abnorml,98000,Y
458,,RL,1954,Normal,256000,Y
459,,RM,1925,Normal,161000,Y
460,,RL,1950,Normal,110000,Y
461,75.0,FV,2009,Partial,263435,Y
462,60.0,RL,1936,Normal,155000,Y
463,60.0,RL,1965,Normal,62383,Y
464,74.0,RL,1934,Normal,188700,Y
465,60.0,RL,1978,Normal,124000,Y
466,,RM,2004,Normal,178740,Y
467,85.0,RL,1970,Normal,167000,Y
468,79.0,RL,1942,Normal,146500,Y
469,98.0,RL,2006,Normal,250000,Y
470,76.0,RL,1993,Normal,187000,Y
471,,RL,1985,Normal,212000,Y
472,92.0,RL,1977,Normal,190000,Y
473,35.0,RM,2005,Normal,148000,Y
474,110.0,RL,2006,Partial,440000,Y
475,41.0,RL,2000,Normal,251000,Y
476,80.0,RL,1963,Normal,132500,Y
477,75.0,RL,1997,Normal,208900,Y
478,105.0,RL,2006,Normal,380000,Y
479,79.0,RL,2007,Normal,297000,Y
480,50.0,RM,1937,Alloca,89471,Y
481,98.0,RL,2004,Normal,326000,Y
482,72.0,RL,2003,Normal,374000,Y
483,50.0,RM,1915,Normal,155000,Y
484,32.0,RM,1998,Normal,164000,Y
485,,RL,1962,Normal,132500,Y
486,80.0,RL,1950,Normal,147000,Y
487,79.0,RL,1965,Normal,156000,Y
488,70.0,RL,1971,Normal,175000,Y
489,60.0,RL,1900,Normal,160000,Y
490,21.0,RM,1970,Normal,86000,Y
491,,RM,1976,Normal,115000,Y
492,79.0,RL,1941,Normal,133000,Y
493,105.0,RL,2006,Partial,172785,Y
494,70.0,RL,1960,Normal,155000,Y
495,50.0,RM,1938,Normal,91300,Y
496,60.0,C (all),1920,Abnorml,34900,Y
497,,RL,1992,Normal,430000,Y
498,60.0,RL,1925,Normal,184000,Y
499,65.0,RL,1967,Normal,130000,Y
500,70.0,RL,1958,Normal,120000,Y
501,21.0,RM,1973,Normal,113000,Y
502,75.0,FV,2005,Normal,226700,Y
503,70.0,RL,1965,Normal,140000,Y
504,100.0,RL,1959,Normal,289000,Y
505,24.0,RL,1974,Normal,147000,Y
506,60.0,RM,1952,Normal,124500,Y
507,80.0,RL,1993,Normal,215000,Y
508,75.0,FV,2009,Partial,208300,Y
509,60.0,RM,1928,Normal,161000,Y
510,80.0,RL,1959,Normal,124500,Y
511,75.0,RL,1951,Normal,164900,Y
512,40.0,RL,2005,Partial,202665,Y
513,70.0,RL,1958,Normal,129900,Y
514,71.0,RL,1983,Normal,134000,Y
515,55.0,RL,1926,Normal,96500,Y
516,94.0,RL,2009,Partial,402861,Y
517,,RL,1972,Abnorml,158000,Y
518,79.0,RL,1996,Normal,265000,Y
519,,RL,1998,Normal,211000,Y
520,53.0,RL,1926,Normal,234000,Y
521,60.0,RL,1900,Normal,106250,Y
522,90.0,RL,1957,Normal,150000,Y
523,50.0,RM,1947,Normal,159000,Y
524,130.0,RL,2007,Partial,184750,Y
525,95.0,RL,1996,Normal,315750,Y
526,62.0,FV,2005,Normal,176000,Y
527,70.0,RL,1956,Normal,132000,Y
528,67.0,RL,2008,Partial,446261,Y
529,58.0,RL,1920,Normal,86000,Y
530,,RL,1957,Alloca,200624,Y
531,85.0,RL,1988,Abnorml,175000,Y
532,60.0,RM,1920,Normal,128000,Y
533,60.0,RL,1955,Normal,107500,Y
534,50.0,RL,1946,Normal,39300,Y
535,74.0,RL,2004,Normal,178000,Y
536,70.0,RL,1910,Normal,107500,Y
537,57.0,RL,1998,Normal,188000,Y
538,,RL,1972,Normal,111250,Y
539,,RL,1968,Normal,158000,Y
540,,RL,2001,Normal,272000,Y
541,85.0,RL,2006,Normal,315000,Y
542,,RL,2000,Normal,248000,Y
543,78.0,RL,1998,Normal,213250,Y
544,34.0,RH,1998,Normal,133000,Y
545,58.0,RL,2006,Partial,179665,Y
546,,RL,1988,Normal,229000,Y
547,70.0,RL,1923,Normal,210000,Y
548,54.0,RL,1970,Normal,129500,Y
549,49.0,RM,1955,Normal,125000,Y
550,75.0,FV,2003,Normal,263000,Y
551,53.0,RL,1977,Abnorml,140000,Y
552,50.0,RM,1957,Normal,112500,Y
553,87.0,RL,2006,Normal,255500,Y
554,67.0,RL,1949,Normal,108000,Y
555,85.0,RL,2003,Normal,284000,Y
556,58.0,RM,1922,Normal,113000,Y
557,69.0,RL,1957,Normal,141000,Y
558,60.0,C (all),1920,Normal,108000,Y
559,57.0,RL,1996,Normal,175000,Y
560,,RL,2003,Normal,234000,Y
561,,RL,1957,Normal,121500,Y
562,77.0,RL,1974,Normal,170000,Y
563,63.0,RL,1940,Normal,108000,Y
564,66.0,RL,1918,Normal,185000,Y
565,,RL,1992,Normal,268000,Y
566,66.0,RL,1915,Normal,128000,Y
567,77.0,RL,2005,Normal,325000,Y
568,70.0,RL,2004,Normal,214000,Y
569,79.0,RL,1983,Normal,316600,Y
570,,RL,1979,Normal,135960,Y
571,74.0,RL,1965,Normal,142600,Y
572,60.0,RL,1959,Abnorml,120000,Y
573,83.0,RL,2009,Partial,224500,Y
574,76.0,RL,2000,Normal,170000,Y
575,70.0,RL,1971,Normal,139000,Y
576,80.0,RL,1947,Abnorml,118500,Y
577,52.0,RL,1928,Normal,145000,Y
578,96.0,RL,1966,Abnorml,164500,Y
579,34.0,FV,2007,Abnorml,146000,Y
580,81.0,RM,1954,Normal,131500,Y
581,,RL,1960,Normal,181900,Y
582,98.0,RL,2008,Partial,253293,Y
583,81.0,RL,1990,Normal,118500,Y
584,75.0,RM,1893,Normal,325000,Y
585,51.0,RM,1935,Normal,133000,Y
586,88.0,RL,2005,Partial,369900,Y
587,55.0,RL,1918,Normal,130000,Y
588,74.0,RL,1982,Normal,137000,Y
589,65.0,RL,1968,Partial,143000,Y
590,50.0,RM,1930,Normal,79500,Y
591,64.0,RL,2004,Normal,185900,Y
592,97.0,RL,2008,Normal,451950,Y
593,60.0,RL,1982,Normal,138000,Y
594,,RM,2003,Normal,140000,Y
595,88.0,RL,1975,Normal,110000,Y
596,69.0,RL,2005,Partial,319000,Y
597,60.0,RM,1910,Normal,114504,Y
598,53.0,RL,2006,Partial,194201,Y
599,80.0,RL,1977,Normal,217500,Y
600,24.0,RM,1980,Normal,151000,Y
601,74.0,RL,2005,Normal,275000,Y
602,50.0,RM,1937,Normal,141000,Y
603,80.0,RL,1992,Abnorml,220000,Y
604,30.0,FV,2004,Normal,151000,Y
605,88.0,RL,2002,Normal,221000,Y
606,85.0,RL,1965,Normal,205000,Y
607,82.0,RL,1996,Normal,152000,Y
608,78.0,RL,1948,Normal,225000,Y
609,78.0,RL,1934,Alloca,359100,Y
610,61.0,RL,1961,Normal,118500,Y
611,,RL,2000,Normal,313000,Y
612,,RL,1978,Normal,148000,Y
613,,RL,2001,Normal,261500,Y
614,70.0,RL,2007,Partial,147000,Y
615,21.0,RM,1972,Normal,75500,Y
616,80.0,RL,1963,Abnorml,137500,Y
617,,RL,2002,Normal,183200,Y
618,59.0,RL,1954,Normal,105500,Y
619,90.0,RL,2007,Partial,314813,Y
620,85.0,RL,2003,Normal,305000,Y
621,45.0,RL,1914,Normal,67000,Y
622,90.0,RL,1974,Normal,240000,Y
623,71.0,RL,1977,Normal,135000,Y
624,,FV,2000,Normal,168500,Y
625,80.0,RL,1972,Normal,165150,Y
626,87.0,RL,1962,Normal,160000,Y
627,,RL,1960,Normal,139900,Y
628,80.0,RL,1955,Normal,153000,Y
629,70.0,RL,1969,Family,135000,Y
630,82.0,RL,1964,Normal,168500,Y
631,50.0,RM,1880,Abnorml,124000,Y
632,34.0,RL,2006,Normal,209500,Y
633,85.0,RL,1977,Family,82500,Y
634,80.0,RL,1954,Normal,139400,Y
635,64.0,RL,1980,Normal,144000,Y
636,60.0,RH,1914,Abnorml,200000,Y
637,51.0,RM,1936,Normal,60000,Y
638,50.0,RM,1954,Normal,93000,Y
639,67.0,RL,1910,Normal,85000,Y
640,53.0,RL,2006,Partial,264561,Y
641,62.0,RL,2003,Normal,274000,Y
642,,FV,2001,Normal,226000,Y
643,75.0,RL,1972,Normal,345000,Y
